title,price,link,size,bedrooms,parking_spaces,bathrooms
"Apartamento com 1 ou 2 dormitorios a venda, 32 m2 por R$ 205.000 - Chacara Belenzinho - Sao Paulo/SP",205000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-sp-sao-paulo-chacara-belenzinho-32m2-RS205000/id-22131569/,32,1.0,1.0,
"Apartamento Residencial a venda, Cidade Jardim, Sao Paulo - AP0132.",878000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-sp-sao-paulo-cidade-jardim-RS878000/id-28572457/,43,1.0,1.0,1.0
Apartamento duplex a venda - Vila Olimpia - Sao Paulo,950000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-sp-sao-paulo-vila-olimpia-45m2-RS950000/id-24829209/,45,1.0,1.0,1.0
"Venha morar no Brooklin, a regiao mais desejada de Sao Paulo.  Jardim das Acacias, Sao Paulo, SP",1260000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-jardim-das-acacias-RS1260000/id-23715593/,70,2.0,1.0,2.0
"Meio Andar corporativo para venda e locacao, na Av. Brig. Faria Lima",5350000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-com-garagem-sp-sao-paulo-jardim-paulistano-RS5350000/id-29767539/,201,2.0,2.0,
maxhaus santana - Apartamento Padrao com 70m zona norte,580000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-carandiru-70m2-RS580000/id-19801551/,70,2.0,1.0,1.0
Urman Sao Paulo - O Empreendimento Mais Completo da Zona Leste,500000,https://www.chavesnamao.com.br/lancamento/urman-sao-paulo-o-empreendimento-mais-completo-da-zona-leste/id-23373948/,28,3.0,1.0,1.0
Apartamento Moderno na Avenida Angelica,3200000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-4-quartos-com-garagem-sp-sao-paulo-consolacao-RS3200000/id-25875391/,400,4.0,2.0,2.0
Lancamento Auge Resort Tatuape,1910000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-vila-azevedo-RS1910000/id-29784584/,140,3.0,1.0,1.0
"Qualidade construtiva, plantas inteligentes e um detalhado processo de criacao para uma entrega de excelencia.",7500000,https://www.chavesnamao.com.br/lancamento/qualidade-construtiva-plantas-inteligentes-e-um-detalhado-processo-de-criacao-para-uma-entrega-de-excelencia-/id-27684919/,258,1.0,,
