title,price,link,size,bedrooms,parking_spaces,bathrooms
Descubra o Movi SKY no Eixo Platina,300000,https://www.chavesnamao.com.br/lancamento/descubra-o-movi-sky-no-eixo-platina/id-23398762/,24,1.0,1.0,1.0
Apartamento a venda 30m2 01 Dormitorios Zona Sul VILA SUZANA MORUMBI,290000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-sp-sao-paulo-vila-suzana-77m2-RS290000/id-9256366/,30,1.0,1.0,1.0
Studio de 27m2 no Nex One Sena Madureira - Pronto para morar!,495000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-sp-sao-paulo-vila-clementino-41m2-RS495000/id-28635301/,27,1.0,1.0,
Otima Localizacao Alto de Santana,795000,https://www.chavesnamao.com.br/lancamento/otima-localizacao-alto-de-santana/id-27096951/,62,2.0,1.0,2.0
Lindo Apartamento com Varanda Gourmet na Vila Guilherme,1060000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-vila-guilherme-97m2-RS1060000/id-21408951/,97,3.0,2.0,3.0
Apartamento a venda Vila Santa Catarina em Sao Paulo - Cond. Maison Durand,770000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-vila-santa-catarina-100m2-RS770000/id-29501726/,100,3.0,3.0,2.0
Butanta tudo gira ao seu redor,299000,https://www.chavesnamao.com.br/lancamento/butanta-tudo-gira-ao-seu-redor/id-27160733/,30,2.0,1.0,1.0
Apartamento em Perdizes - 156 M2 - 4 Dorms - 3 Suites - Elevador Privativo - Lazer Completo,2185000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-4-quartos-com-garagem-sp-sao-paulo-perdizes-156m2-RS2185000/id-21632940/,156,4.0,2.0,5.0
Apartamento  46m2 na Vila California - 2 dormitorios,340000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-sp-sao-paulo-vila-california-RS340000/id-28565574/,46,2.0,1.0,
Cronos Alto da Boa Vista,274669,https://www.chavesnamao.com.br/lancamento/cronos-alto-da-boa-vista/id-29128323/,27,2.0,1.0,1.0
Condominio Residencial Terrara,1385000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-interlagos-144m2-RS1385000/id-25626115/,144,3.0,3.0,2.0
!!!OPORTUNIDADE!!! LINDO APTO. ALTO PADRAO com 180m2 UTEIS - 01 POR ANDAR - 04 DORM. sendo 02 SUITES - VARANDA - LAZER por R$ 2.390M - HIGIENOPOLIS,2990000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-4-quartos-com-garagem-sp-sao-paulo-higienopolis-RS2990000/id-22530646/,180,4.0,3.0,4.0
"Apartamento  a Venda em Higienopolis com 3 Dorms, 1 Suite, 2 Vagas, e 105m2 de Area Util",1500000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-higienopolis-180m2-RS1500000/id-23758019/,105,3.0,2.0,4.0
Apartamento Vila Carrao Sao Paulo/SP,510000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-vila-carrao-70m2-RS510000/id-21719878/,70,2.0,1.0,2.0
Apartamento  Higienopolis Reformado com 4 suites,2950000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-4-quartos-com-garagem-sp-sao-paulo-higienopolis-230m2-RS2950000/id-18310905/,230,4.0,2.0,5.0
Apartamento no Jaragua 2 dormitorios,249900,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-vila-jaragua-RS249900/id-29363838/,38,2.0,1.0,1.0
Apartamento a Venda no Bairro Belem - Sao Paulo / SP,410000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-belem-55m2-RS410000/id-28453971/,55,2.0,1.0,1.0
"Cobertura na Parada Inglesa 136m2, 3 suites e 3 vagas de garagem",1338369,https://www.chavesnamao.com.br/imovel/cobertura-a-venda-3-quartos-com-garagem-sp-sao-paulo-vila-dom-pedro-ii-160m2-RS1338369/id-21509103/,136,3.0,3.0,4.0
"Apartamento a venda, 64 m2 por R$ 783.000,00 - Tatuape - Sao Paulo/SP",783000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-tatuape-64m2-RS783000/id-29095829/,64,2.0,1.0,2.0
"Apartamento Padrao com 2 Dormitorios na Bela Vista, Sao Paulo",540000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-sp-sao-paulo-bela-vista-90m2-RS540000/id-28693723/,80,2.0,2.0,
Apartamentos de 77M2 129M2 a  526M2  Um marco imobiliario grandioso  tudo de mais iponente da America Latina,2100000,https://www.chavesnamao.com.br/lancamento/apartamentos-de-77m-129m-a-526m-um-marco-imobiliario-grandioso-tudo-de-mais-iponente-da-america-latina/id-29823223/,77,4.0,1.0,2.0
APARTAMENTO NO TATUAPE C/36 E 1 VAGA,325000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-vila-antonina-48m2-RS325000/id-29098126/,36,2.0,1.0,1.0
"Otimo apartamento com 2 dormitorios com sacada sendo 51,30m2 sem vaga garagem",387000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-sp-sao-paulo-quinta-da-paineira-51m2-RS387000/id-24138024/,51,2.0,1.0,
"Apartamento a venda no bairro Tucuruvi - Sao Paulo/SP, Zona Norte",224300,https://www.chavesnamao.com.br/lancamento/apartamento-a-venda-no-bairro-tucuruvi-sao-paulo-sp-zona-norte/id-27130089/,25,1.0,1.0,
Apto a venda no Edif Maria Josepha em Sao Paulo-SP,410000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-sp-sao-paulo-ipiranga-70m2-RS410000/id-18086528/,70,3.0,2.0,
Excelente Apartamento com 3 dormitorios  localizado na vVia Matilde,450000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-vila-matilde-117m2-RS450000/id-19112118/,73,3.0,1.0,2.0
"Alto Sao Domingos 34 a 43 m2, 2 Dorm com opcao de Suite, Sacada e Vaga",240000,https://www.chavesnamao.com.br/lancamento/alto-sao-domingos-34-a-43-m-2-dorm-com-opcao-de-suite-sacada-e-vaga/id-23382963/,34,2.0,1.0,1.0
"Apartamento com 3 dormitorios a venda, 72 m2 por R$ 400.000,00 - Parque Mandaqui - Sao Paulo/SP",400000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-parque-mandaqui-72m2-RS400000/id-29226060/,72,3.0,1.0,1.0
"Apartamento com 2 quartos a venda, 60 m2 - Vila Clementino - Sao Paulo/SP",535000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-sp-sao-paulo-vila-clementino-RS535000/id-18581901/,60,2.0,2.0,
"APARTAMENTO A VENDA NA  VILA ANDRADE, SAO PAULO",195000,https://www.chavesnamao.com.br/lancamento/apartamento-a-venda-na-vila-andrade-sao-paulo/id-25403433/,36,2.0,1.0,1.0
"Apartamento com 1 dormitorio a venda, 25 m2 por R$ 470.000,00 - Indianopolis - Sao Paulo/SP",470000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-sp-sao-paulo-indianopolis-25m2-RS470000/id-18413670/,25,1.0,1.0,
"Andar alto com vaga livre, dois dorms e lazer completo",542000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-bras-55m2-RS542000/id-29627453/,55,2.0,1.0,2.0
Vila Prudente | 2 a 4 Dorms | 72 a 188m2 | Sofisticacao e Conforto,833000,https://www.chavesnamao.com.br/lancamento/vila-prudente-2-a-4-dorms-72-a-188m-sofisticacao-e-conforto/id-29138189/,72,4.0,1.0,2.0
"Apartamento com 2 quartos a venda na Rua Doutor Augusto de Miranda, 941, Pompeia, Sao Paulo por R$ 690.000",690000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-sp-sao-paulo-pompeia-106m2-RS690000/id-28952229/,106,2.0,1.0,
Apartamento a venda no bairro Brooklin Paulista - Sao Paulo/SP,860500,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-brooklin-paulista-64m2-RS860500/id-29295404/,64,2.0,1.0,2.0
Arte Barra Funda - 1 ou 2Dorm 27 a 41m2 c/sacada e opcao de vaga,245900,https://www.chavesnamao.com.br/lancamento/arte-barra-funda-1-ou-2dorm-27-a-41m2-c-sacada-e-opcao-de-vaga/id-16795114/,28,2.0,1.0,1.0
Apartamento A Venda Studio Sacoma Sao Paulo,700000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-sp-sao-paulo-vila-dom-pedro-i-RS700000/id-30003051/,45,1.0,1.0,1.0
"Apartamento com 3 suite e 1 escritorio(reversivel) a venda, 230 m2 Vila Leopoldina - Sao Paulo/SP",3600000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-4-quartos-com-garagem-sp-sao-paulo-vila-leopoldina-280m2-RS3600000/id-27170354/,230,4.0,3.0,5.0
APARTAMENTO NOVO pertinho do  METRO,239000,https://www.chavesnamao.com.br/lancamento/apartamento-novo-pertinho-do-metro/id-25951231/,30,2.0,1.0,
"Apartamento com 3 quartos a venda no Jardim Avelino, Sao Paulo  por R$ 775.000",775000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-jardim-avelino-96m2-RS775000/id-9128761/,96,3.0,2.0,2.0
"Apartamento com 2 quartos a venda na Vila Andrade, Sao Paulo , 69 m2 por R$ 445.000",445000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-vila-andrade-RS445000/id-28971080/,69,2.0,1.0,1.0
Apartamento proximo do  Metro Vila Matilde,239000,https://www.chavesnamao.com.br/lancamento/apartamento-proximo-do-metro-vila-matilde/id-14558265/,30,2.0,1.0,
"Apartamento com 3 dormitorios a venda, 87 m2 por R$ 1.009.000 - Vila Mariana - Sao Paulo/SP",1009000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-vila-mariana-87m2-RS1009000/id-25603839/,87,3.0,1.0,2.0
Apartamento de 260m2 com 4 dormitprios e 3 vagas em Higienopolis,7800000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-4-quartos-com-garagem-sp-sao-paulo-consolacao-RS7800000/id-27553767/,260,4.0,3.0,5.0
"Studio 18,09m2 - Alto de Pinheiros SP",325282,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-sp-sao-paulo-alto-de-pinheiros-28m2-RS325282/id-27814875/,18,1.0,1.0,
"Oportunidade, proximo Voluntarios da Patria Apartamento a venda com 130 m2 3 suites, 3 vagas com sa",1349000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-sp-sao-paulo-parque-mandaqui-130m2-RS1349000/id-28686519/,130,3.0,4.0,
A EXPERIENCIA FASANO DE MORAR - ITAIM BIBI / SP,20000000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-4-quartos-com-garagem-sp-sao-paulo-itaim-bibi-285m2-RS20000000/id-29114727/,285,4.0,4.0,6.0
Cobertura Top House no Tatuape!!!,1475000,https://www.chavesnamao.com.br/imovel/cobertura-a-venda-3-quartos-com-garagem-sp-sao-paulo-tatuape-158m2-RS1475000/id-26211079/,158,3.0,3.0,4.0
Apartamento a venda no bairro Jardim Analia Franco - Sao Paulo/SP,1500000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-jardim-analia-franco-160m2-RS1500000/id-29570855/,160,3.0,2.0,2.0
"Apartamento para Venda em Sao Paulo, Vila Andrade, 3 suites, 3 banheiros, 4 vagas",1400000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-com-garagem-sp-sao-paulo-vila-andrade-RS1400000/id-28600959/,184,4.0,3.0,
Apartamento em Vila Butanta  -  Sao Paulo,580000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-vila-butanta-RS580000/id-21144175/,95,3.0,2.0,1.0
"Apartamento alto padrao 3 dormitorios com varanda gourmet, 3 suites e 2 vagas na Vila Mascote",1500000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-vila-mascote-20000m2-RS1500000/id-19591451/,143,3.0,2.0,1.0
